Id,Name,2026-07-01 13:26:48,2026-07-02 13:08:07,2026-07-03 12:51:42,2026-07-04 12:51:02,2026-07-05 13:09:29,2026-07-06 13:16:41,2026-07-07 13:06:48,2026-07-08 12:33:45,2026-07-09 12:59:09,2026-07-10 13:02:31,2026-07-11 12:29:07,2026-07-12 12:41:28,2026-07-13 12:43:37,2026-07-14 12:07:08,2026-07-15 12:05:01,2026-07-16 12:12:36,2026-07-17 12:26:40,2026-07-18 12:06:47,2026-07-19 12:31:16,2026-07-20 12:51:14,2026-07-21 12:32:31,2026-07-22 12:16:18,2026-07-23 12:23:34
4734186,ASHTON AT-1000K,"블랙_69,000|우드_69,000","블랙_69,000|우드_69,000","블랙_69,000|우드_69,000","블랙_69,000|우드_69,000","블랙_69,000|우드_69,000","블랙_69,000|우드_69,000","블랙_69,000|우드_69,000","블랙_69,000|우드_69,000","블랙_69,000|우드_69,000","블랙_69,000|우드_69,000","블랙_69,000|우드_69,000","블랙_69,000|우드_69,000","블랙_69,000|우드_69,000","블랙_69,000|우드_69,000","블랙_69,000|우드_69,000","블랙_69,000|우드_69,000","블랙_69,000|우드_69,000","블랙_69,000|우드_69,000",0,"블랙_69,000|우드_69,000","블랙_69,000|우드_69,000",0,0
1432584,ASHTON AT-3800,0,"정품_130,000","정품_130,000","정품_130,000","정품_130,000","정품_130,000","정품_130,000","정품_130,000","정품_130,000","정품_130,000","정품_130,000","정품_130,000","정품_130,000","정품_130,000","정품_130,000","정품_130,000","정품_130,000","정품_130,000",0,"정품_130,000","정품_130,000",0,0
89863922,ASIS S10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"정품_20,640",0,"정품_20,640","정품_20,640",0,0
40580177,ASUS ROG CARNYX,0,"해외구매_301,880","해외구매_301,880","해외구매_301,880","해외구매_303,100","해외구매_303,100","해외구매_303,110","해외구매_303,110","해외구매_303,110","해외구매_299,950","해외구매_299,950","해외구매_298,990","해외구매_298,220","해외구매_288,460","해외구매_285,690","해외구매_285,690","해외구매_285,240","해외구매_285,240",0,"해외구매_284,820","해외구매_284,500",0,0
69696632,ASUS STRIX RAID DLX,0,"해외구매_665,880","해외구매_665,880","해외구매_665,880","해외구매_665,880","해외구매_665,880","해외구매_646,600","해외구매_646,600","해외구매_646,600","해외구매_646,600","해외구매_646,600","해외구매_686,000","해외구매_686,000","해외구매_686,000","해외구매_686,000","해외구매_686,000","해외구매_686,000","해외구매_686,000",0,"해외구매_686,000","해외구매_686,000",0,0
5553877,ASUS STRIX RAID PRO,0,"해외구매_164,200",0,"해외구매_164,200","해외구매_164,200","해외구매_164,200","해외구매_164,200","해외구매_164,200","해외구매_164,200","해외구매_164,200","해외구매_164,200","해외구매_164,200","해외구매_164,200","해외구매_164,200","해외구매_164,200","해외구매_164,200","해외구매_164,200","해외구매_164,200",0,"해외구매_164,200","해외구매_164,200",0,0
1927547,ASUS XONAR DGX,0,"정품_118,830|해외구매_107,020","정품_118,830|해외구매_107,020","정품_118,830|해외구매_107,020","정품_118,830|해외구매_107,020","정품_118,830|해외구매_107,020","정품_118,830|해외구매_107,020","정품_118,830|해외구매_107,020","정품_118,830|해외구매_107,020","정품_118,830|해외구매_107,020","정품_118,830|해외구매_107,020","정품_118,830|해외구매_107,020","정품_118,830|해외구매_107,020","정품_118,830|해외구매_107,020","정품_118,830|해외구매_107,020","정품_118,830|해외구매_107,020","정품_118,830|해외구매_107,020","정품_118,830|해외구매_107,020",0,"정품_118,830|해외구매_107,020","정품_118,830|해외구매_107,020",0,0
89862755,AURORA AR1214,0,"정품_11,400","정품_11,400","정품_11,400","정품_11,400","정품_11,400","정품_11,400","정품_11,400","정품_11,400","정품_11,400","정품_11,400","정품_11,400","정품_11,400","정품_11,400","정품_11,400","정품_11,400","정품_11,400","정품_11,400",0,"정품_12,000","정품_12,000",0,0
5790657,AVerMedia AM310,0,"정품_98,500|해외구매_109,740","정품_98,500|해외구매_109,740","정품_98,500|해외구매_110,370","정품_98,500|해외구매_110,370","정품_98,500|해외구매_110,370","정품_98,500|해외구매_110,370","정품_98,500|해외구매_107,890","정품_98,500|해외구매_107,890","정품_98,500|해외구매_107,890","정품_98,500|해외구매_84,510","정품_98,500|해외구매_84,510","정품_98,500|해외구매_92,840","정품_98,500|해외구매_107,290","정품_98,500|해외구매_107,290","정품_98,500|해외구매_107,290","정품_98,500|해외구매_106,110","정품_98,500|해외구매_106,110",0,"정품_99,000|해외구매_113,340","정품_99,000|해외구매_113,650",0,0
5523411,Actto BTS-10 LX,0,"정품_104,857","정품_104,857","정품_104,857","정품_104,857","정품_104,857","정품_104,857","정품_104,857","정품_104,857","정품_104,857","정품_104,857","정품_104,857","정품_104,857","정품_104,857","정품_104,857","정품_104,857","정품_104,857","정품_104,857",0,"정품_104,857","정품_104,857",0,0
11954609,Actto BTS-38,0,"72,390","72,390","72,390","72,390","72,390","72,390","72,390","72,390","72,390","72,390","72,390","72,390","72,390","72,390","72,390","72,390","72,390",0,"72,390","72,390",0,0
12695864,Actto BTS-42,0,"정품_28,400",0,"정품_28,400","정품_28,400","정품_28,400","정품_28,400","정품_28,310","정품_28,190","정품_28,070","정품_28,000","정품_27,960","정품_27,880","정품_27,850","정품_27,840","정품_27,840","정품_27,840","정품_27,840",0,"정품_27,840","정품_27,840",0,0
15827006,Actto BTS-51,0,"29,900","29,900","29,900","29,900","29,900","29,900","29,900","29,900","29,900","29,900","29,900","29,900","29,900","29,900","29,900","29,900","29,900",0,"29,900","29,900",0,0
21361673,Actto BTS-52,0,"19,900","19,900","22,440","22,340","22,220","22,190","22,090","21,960","21,850","21,930","21,890","21,810","21,770","21,680","21,650","21,500","21,480",0,"21,340","19,900",0,0
30217559,Actto BTS-54,0,"19,600","19,600","19,600","19,600","23,900","23,900","23,900","23,900","23,900","23,900","23,900","23,900","23,900","23,900","23,900","23,900","23,890",0,"23,890","23,900",0,0
30738890,Actto BTS-55,0,"43,890","43,890","43,890","43,890","43,890","43,890","43,890","43,890","43,890","43,890","43,890","43,890","43,890","43,890","43,890","43,890","43,890",0,"43,890","43,890",0,0
31093904,Actto BTS-57,0,"21,390","21,390","21,390","21,390","21,390","21,390","21,390","21,390","21,390","21,390","21,390","21,390","21,390","21,390","21,390","21,390","21,390",0,"21,390","21,390",0,0
30219509,Actto BTS-58,0,"84,800","84,800","84,800","84,800","84,800","84,800","84,800","84,800","84,800","84,800","84,800","84,800","84,800","84,800","84,800","84,800","84,800",0,"84,800","84,800",0,0
80589617,Actto BTS-60,0,"정품_26,910","정품_26,910","정품_26,910","정품_26,410","정품_26,410","정품_26,410","정품_26,410","정품_26,410","정품_26,410","정품_26,410","정품_26,410","정품_26,410","정품_26,410","정품_26,410","정품_26,410","정품_26,410","정품_26,410",0,"정품_26,410","정품_26,410",0,0
88233689,Actto BTS-63,0,"정품_18,120","정품_18,120","정품_18,120","정품_18,120","정품_18,120","정품_22,010","정품_22,010","정품_22,010","정품_22,010","정품_22,010","정품_22,010","정품_22,010","정품_22,010","정품_22,010","정품_22,010","정품_22,010","정품_22,010",0,"정품_22,010","정품_22,010",0,0
99912203,Actto BTS-64,0,"정품_18,590","정품_18,590","정품_18,590","정품_18,590","정품_18,590","정품_22,213","정품_22,213","정품_22,213","정품_22,213","정품_22,213","정품_22,213","정품_21,297","정품_21,297","정품_21,297","정품_21,297","정품_21,297","정품_21,297",0,"정품_22,213","정품_22,213",0,0
11546738,Actto MIC-14,0,"정품_17,114","정품_17,114","정품_17,114","정품_17,114","정품_17,114","정품_17,114","정품_17,114","정품_17,123","정품_17,123","정품_17,123","정품_17,123","정품_17,123","정품_17,123","정품_17,123","정품_17,123","정품_17,123","정품_17,123",0,"정품_17,123","정품_16,890",0,0
15605411,Actto MIC-25,0,"29,900","29,900","29,900","29,900","29,900","29,900","29,900","29,900","29,900","29,900","29,900","29,900","29,900","29,900","29,900","29,900","29,900",0,"29,900","29,900",0,0
33483539,Actto MIC-28,0,"정품_15,190","정품_15,180","정품_15,170","정품_15,160","정품_15,150","정품_15,140","정품_15,130","정품_15,120","정품_15,110","정품_15,100","정품_15,090","정품_15,210","정품_15,190","정품_15,180","정품_15,170","정품_15,160","정품_15,150",0,"정품_15,120","정품_15,110",0,0
16049186,Actto SPK-23,"정품_9,830","정품_9,830","정품_9,830","정품_9,830","정품_9,830","정품_9,830","정품_9,830","정품_9,830","정품_9,830","정품_9,830","정품_9,830","정품_9,830","정품_9,830","정품_9,830","정품_9,830","정품_9,830","정품_9,830","정품_9,830",0,"정품_9,830","정품_9,830",0,0
18751664,Actto SPK-24,0,"정품_16,900","정품_16,900","정품_16,900","정품_16,900","정품_16,900","정품_16,900","정품_16,900","정품_16,900","정품_16,900","정품_16,900","정품_16,900","정품_16,900","정품_16,900","정품_16,900","정품_16,900","정품_16,900","정품_16,900",0,"정품_16,900","정품_16,900",0,0
13570268,Actto USBA-11 사운드카드,0,"정품_14,900","정품_14,900","정품_14,900","정품_14,900","정품_14,900","정품_14,900","정품_14,900","정품_14,900","정품_14,900","정품_14,900","정품_14,900","정품_14,900","정품_14,900","정품_14,900","정품_14,900","정품_14,900","정품_14,900",0,"정품_14,900","정품_14,900",0,0
