Id,Name,2025-07-01 11:11:41,2025-07-02 11:00:26,2025-07-03 11:01:04,2025-07-04 11:00:28,2025-07-08 11:01:41,2025-07-09 11:02:38,2025-07-10 11:02:34,2025-07-11 11:05:21,2025-07-12 11:06:07,2025-07-13 11:20:17,2025-07-14 11:09:52,2025-07-15 11:09:55
5401735,AMD 라이젠5-1세대 1500X (서밋 릿지),0,0,0,0,0,"_해외구매_35,400|_중고_28,300","_해외구매_35,400|_중고_28,300","_해외구매_36,480|_중고_29,110","_해외구매_35,400|_중고_28,790","_해외구매_35,400|_중고_28,790","_해외구매_35,400|_중고_28,790","_해외구매_35,400|_중고_28,480"
13822442,AMD 라이젠5-1세대 1600 (서밋 릿지),0,0,0,0,0,"중고_25,110","중고_25,110","중고_26,500","중고_25,660","중고_25,660","중고_25,660","중고_25,380"
6333162,AMD 라이젠5-2세대 2600 (피나클 릿지),0,0,0,0,0,"해외구매_45,220","해외구매_45,220","해외구매_47,730","해외구매_46,230","해외구매_46,230","해외구매_46,230","해외구매_45,990"
11026104,AMD 라이젠5-2세대 2600X (피나클 릿지),0,0,0,0,0,"_해외구매_58,900|_중고_50,670","_해외구매_58,900|_중고_50,670","_해외구매_61,910|_중고_53,480","_해외구매_58,320|_중고_51,790","_해외구매_58,320|_중고_51,790","_해외구매_58,320|_중고_51,790","_해외구매_57,690|_중고_51,230"
10176534,AMD 라이젠5-2세대 3400G (피카소),0,0,0,0,0,"_멀티팩 정품_372,600|_해외구매_90,580","_멀티팩 정품_372,600|_해외구매_90,580","_멀티팩 정품_372,600|_해외구매_92,770","_멀티팩 정품_372,600|_해외구매_92,530","_멀티팩 정품_372,600|_해외구매_91,490","_멀티팩 정품_372,600|_해외구매_92,530","_멀티팩 정품_372,600|_해외구매_91,520"
75936140,AMD 라이젠5-3세대 3500 (마티스),0,0,0,0,0,"_중고_42,900|_해외구매_64,890","_중고_42,900|_해외구매_64,890","_중고_43,600|_해외구매_68,490","_중고_42,900|_해외구매_66,330","_중고_42,900|_해외구매_66,330","_중고_42,900|_해외구매_66,330","_중고_51,230|_해외구매_65,610"
17744591,AMD 라이젠5-3세대 3500X (마티스),0,0,0,0,0,"중고_46,710","중고_46,710","중고_49,300","중고_47,740","중고_47,740","중고_47,740","중고_47,220"
10861092,AMD 라이젠5-3세대 3600 (마티스),0,0,0,0,0,"_멀티팩 정품_125,990|_해외구매_76,170|중고_70,000","_멀티팩 정품_125,990|_해외구매_76,170|중고_58,410","_멀티팩 정품_125,990|_해외구매_80,400|중고_61,650","_멀티팩 정품_125,990|_해외구매_77,860|중고_59,700","_멀티팩 정품_125,990|_해외구매_77,860|중고_59,700","_멀티팩 정품_125,990|_해외구매_77,860|중고_59,700","_멀티팩 정품_125,990|_해외구매_77,020|중고_59,050"
11024358,AMD 라이젠5-3세대 3600X (마티스),0,0,0,0,0,"해외구매_88,200","해외구매_88,200","해외구매_87,790","해외구매_87,490","해외구매_87,490","해외구매_87,490","해외구매_86,540"
12339050,AMD 라이젠5-3세대 3600XT (마티스),0,0,0,0,0,"중고_78,750","중고_78,750","중고_81,380","중고_80,500","중고_80,500","중고_80,500","중고_79,620"
16740674,AMD 라이젠5-3세대 4500 (르누아르-X),0,0,0,0,0,"_멀티팩 정품_107,000|_해외구매_85,140","_멀티팩 정품_107,000|_해외구매_85,140","_멀티팩 정품_107,000|_해외구매_89,880","_멀티팩 정품_107,000|_해외구매_87,040","_멀티팩 정품_107,000|_해외구매_87,040","_멀티팩 정품_107,000|_해외구매_87,040","_멀티팩 정품_107,000|_해외구매_86,090"
17214128,AMD 라이젠5-3세대 4600G (르누아르),0,0,0,0,0,"_멀티팩 정품_200,000|_해외구매_121,900|중고_150,000","_멀티팩 정품_200,000|_해외구매_121,900|중고_150,000","_멀티팩 정품_200,000|_해외구매_125,300|중고_150,000","_멀티팩 정품_200,000|_해외구매_121,900|중고_150,000","_멀티팩 정품_200,000|_해외구매_121,900|중고_150,000","_멀티팩 정품_200,000|_해외구매_121,900|중고_150,000","_멀티팩 정품_200,000|_해외구매_121,900|중고_150,000"
16740791,AMD 라이젠5-4세대 5500 (세잔),0,0,0,0,0,"_정품_134,910|중고_102,500|_해외구매_94,300","_정품_134,910|중고_102,500|_해외구매_94,300","_정품_134,910|중고_106,870|_해외구매_99,080","_정품_134,910|중고_103,500|_해외구매_90,520","_정품_134,910|중고_103,500|_해외구매_90,520","_정품_133,453|중고_103,500|_해외구매_90,520","_정품_133,453|중고_102,500|_해외구매_89,540"
54218171,AMD 라이젠5-4세대 5500GT (세잔),0,0,0,0,0,"_멀티팩 정품_140,630|_정품_242,390|벌크 병행_143,890","_멀티팩 정품_139,220|_정품_242,390|벌크 병행_143,130","_멀티팩 정품_137,690|_정품_242,390|벌크 병행_143,920","_멀티팩 정품_137,620|_정품_242,390|벌크 병행_143,910","_멀티팩 정품_137,500|_정품_242,390|벌크 병행_143,870","_멀티팩 정품_137,410|_정품_242,390|벌크 병행_143,750","_멀티팩 정품_137,400|_정품_242,390|벌크 병행_143,630"
16741211,AMD 라이젠5-4세대 5600 (버미어),0,0,0,0,0,"_멀티팩 정품_116,410|정품_139,990|벌크 병행_136,680|_해외구매_114,760","_멀티팩 정품_116,290|정품_139,990|벌크 병행_136,680|_해외구매_114,760","_멀티팩 정품_116,190|정품_139,990|벌크 병행_136,680|_해외구매_114,760","_멀티팩 정품_115,940|정품_139,990|벌크 병행_136,680|_해외구매_114,760","_멀티팩 정품_115,850|정품_139,990|벌크 병행_136,680|_해외구매_114,760","_멀티팩 정품_114,325|정품_139,990|벌크 병행_136,680|_해외구매_114,760","_멀티팩 정품_115,930|정품_146,240|벌크 병행_136,680|_해외구매_114,760"
14927675,AMD 라이젠5-4세대 5600G (세잔),0,0,0,0,0,"_멀티팩 정품_145,000|_해외구매_170,900","_멀티팩 정품_145,000|_해외구매_170,900","_멀티팩 정품_145,900|_해외구매_171,850","_멀티팩 정품_145,900|벌크 병행_167,650|_해외구매_170,900","_멀티팩 정품_145,900|벌크 병행_167,650|_해외구매_170,900","_멀티팩 정품_145,900|벌크 병행_167,650|_해외구매_170,900","_멀티팩 정품_145,900|벌크 병행_167,650|_해외구매_170,900"
34337192,AMD 라이젠5-4세대 5600GT (세잔),0,0,0,0,0,"_멀티팩 정품_158,950|_정품_201,510","_멀티팩 정품_158,990|_정품_201,510","_멀티팩 정품_158,990|_정품_201,510","_멀티팩 정품_159,000|_정품_201,510","_멀티팩 정품_159,000|_정품_201,510","_멀티팩 정품_160,330|_정품_201,510","_멀티팩 정품_163,050|_정품_201,510"
60167690,AMD 라이젠5-4세대 5600GT (세잔),0,0,0,0,0,"_멀티팩 정품_158,950|_정품_201,510","_멀티팩 정품_158,990|_정품_201,510","_멀티팩 정품_158,990|_정품_201,510","_멀티팩 정품_159,000|_정품_201,510","_멀티팩 정품_159,000|_정품_201,510","_멀티팩 정품_160,330|_정품_201,510","_멀티팩 정품_163,050|_정품_201,510"
70254059,AMD 라이젠5-4세대 5600T (버미어),0,0,0,0,0,"멀티팩 정품_119,990","멀티팩 정품_119,990","멀티팩 정품_119,010","멀티팩 정품_120,000","멀티팩 정품_120,000","멀티팩 정품_114,550","멀티팩 정품_114,550"
