Id,Name,2025-09-01 11:11:32,2025-09-02 10:58:18,2025-09-03 10:50:50,2025-09-04 10:51:19,2025-09-05 10:53:32,2025-09-06 10:50:04,2025-09-07 10:59:40,2025-09-08 10:59:20,2025-09-09 10:55:25,2025-09-10 10:52:04,2025-09-11 10:55:19,2025-09-12 10:50:23,2025-09-13 10:46:07,2025-09-14 10:58:36,2025-09-15 11:00:20
78975026,ASUS ZenScreen Duo OLED MQ149CD,"748,000","748,000","748,000","748,000","748,000","748,000","748,000","748,000","748,000","749,000","749,000","695,000","695,000","695,000","695,000"
93630344,ASUS ZenScreen Fold OLED MQ17QH,"3,533,130","3,533,130","3,533,140","3,533,140","3,533,140","3,533,140","3,533,140","3,533,140","3,533,140","3,533,140","3,529,930","3,529,920","3,529,920","3,529,920","3,529,920"
75932264,ASUS ZenScreen MB169CK,"139,000","139,000","139,000","139,000","139,000","139,000","139,000","139,000","139,000","135,880","135,880","136,950","136,950","136,950","136,950"
70768412,BSCONN F6 TX 포터블 듀얼,0,0,"409,000","409,000","409,000","409,000","409,000","409,000",0,0,0,0,0,0,0
82680455,BSCONN M18,"165,000","164,990","164,990",0,0,0,0,"155,000","155,000","155,000","155,000","155,000","155,000","155,000","155,000"
11726564,BenQ EW2780Q 아이케어 무결점,"515,050","515,050","515,050","515,050","515,050","515,050","515,050","515,050","515,050","515,050","515,050","515,050","515,050","515,050","515,050"
74340515,BenQ EW2790U 무결점,"495,820","489,020","489,020","495,820","495,820","494,000","488,700","483,730","489,020","489,020","489,020","489,020","488,970","488,920","479,190"
6000148,BenQ EW3270U 아이케어 무결점,"539,000","453,900","453,900","453,900","453,900","479,000","479,000","479,000","479,000","479,000","479,000","479,000","479,000","479,000","479,000"
10050582,BenQ EW3280U 아이케어 무결점,"659,000","799,000","799,000","799,000","799,000","799,000","799,000","799,000","799,000","799,000","799,000","799,000","799,000","799,000","799,000"
74340668,BenQ EW3290U 무결점,"794,430","794,430","794,430","794,430","794,430","794,430","794,430","774,550","794,430","794,430","794,430","794,430","794,420","794,420","785,310"
16285553,BenQ EX3200R 아이케어 무결점 (중고),0,0,0,"131,560","131,560","131,560","131,560","131,560","131,560",0,0,0,0,0,0
6233239,BenQ GW2280 아이케어 무결점,"133,540","133,420","133,310","133,190","133,100","133,070","132,940","132,860","132,830","132,710","132,590","132,480","132,370","132,240","132,130"
28027190,BenQ GW2283 아이케어 무결점,"136,000","139,000","136,000","136,000","136,000","136,000","138,980","134,750","139,000","139,000","139,000","139,000","139,000","138,990","124,800"
5300621,BenQ GW2480 아이케어 무결점,"133,720","133,610","133,490","133,370","133,250","133,130","133,000","132,920","132,890","132,770","132,650","132,540","132,430","132,300","132,190"
17339756,BenQ GW2480L 아이케어 무결점,"300,750","300,750","300,750","300,750","300,750","302,140","302,140","294,640","294,640","302,140","302,140","302,140","302,140","302,140","302,140"
8725490,BenQ GW2480T 아이케어 무결점,"178,990","178,990","178,990","178,990","178,990","178,990","178,990","178,990","178,990","178,990","178,990","178,990","178,990","178,990","179,000"
15644015,BenQ GW2485TC 아이케어 무결점,"249,000","249,000","249,000","249,000","249,000","249,000","249,000","249,000","249,000","249,000","249,000","249,000","249,000","249,000","249,000"
70676426,BenQ GW2486TC 아이케어 무결점,"266,100","266,100","266,100","266,000","266,000","266,000","266,000","260,770","266,000","266,000","266,000","266,000","265,990","265,990","255,270"
35230289,BenQ GW2490 아이케어 무결점,"137,500","139,000","139,000","135,980","139,000","139,000","139,000","134,750","139,000","139,000","139,000","139,000","139,000","139,000","129,000"
55470170,BenQ GW2490T 아이케어 무결점,"173,220","179,000","179,000","178,690","175,310","179,000","179,000","170,000","170,000","179,000","170,100","179,000","178,990","170,000","160,730"
72229322,BenQ GW2491 아이케어 무결점,"125,400","125,400","125,400","125,400","125,400","125,400","125,400","125,060","125,400","125,400","125,400","125,400","125,400","125,400","119,000"
8759696,BenQ GW2780 아이케어 (중고),"167,000","167,000","167,000","167,000","167,000","167,000","167,000","167,000","167,000","167,000","167,000","167,000","167,000","167,000","167,000"
5300707,BenQ GW2780 아이케어 무결점,"162,710","162,600","162,480","162,360","162,240","162,120","161,990","161,940","161,820","161,700","161,580","161,490","161,360","161,240","161,120"
12010736,BenQ GW2780T 아이케어 무결점,"200,810","200,700","200,640","200,520","200,400","200,280","200,150","200,070","200,040","199,920","199,800","199,700","199,580","199,460","199,340"
15644528,BenQ GW2785TC 아이케어 무결점,"298,990","298,990","298,990","298,990","298,990","298,990","298,990","298,990","298,990","298,990","298,990","298,990","298,990","298,990","298,990"
73886717,BenQ GW2786TC 아이케어 무결점,"309,000","309,000","309,000","318,230","319,000","319,000","319,000","309,240","319,000","319,000","319,000","319,000","318,990","318,990","319,000"
35230670,BenQ GW2790 아이케어 무결점,"167,180","169,000","169,000","165,330","169,000","168,980","168,980","163,830","169,000","169,000","169,000","169,000","168,990","168,990","151,740"
70677125,BenQ GW2790Q 아이케어 무결점,"266,100","255,280","255,280","263,160","268,990","264,840","264,840","260,770","268,990","268,990","268,990","268,990","265,990","265,940","255,270"
19396745,BenQ GW2790QT 시력보호 무결점,"439,350","449,000","449,000","444,070","444,060","444,060","444,060","435,260","435,260","435,260","435,260","435,260","435,250","435,200","403,170"
