Id,Name,2026-07-01 13:25:55,2026-07-02 13:07:26,2026-07-03 12:50:59,2026-07-04 12:44:16,2026-07-05 13:02:56,2026-07-06 13:09:46,2026-07-07 13:00:25,2026-07-08 12:27:16,2026-07-09 12:52:40,2026-07-10 12:55:24,2026-07-11 12:22:24,2026-07-12 12:34:10,2026-07-13 12:36:51,2026-07-14 12:00:06
60148454,SuperFlower SF-750C12FG COMBAT FG 80PLUS골드 ATX3.1,0,"134,000","134,000","133,990","133,990","134,000","134,000","134,000","134,000","134,000","133,970","133,210","133,200","133,080"
69468659,SuperFlower SF-750F14GE LEADEX III GOLD UP ATX3.1,0,"143,310","147,970","147,970","147,970","147,970","147,970","147,970","147,970","147,970","147,970","147,970","147,970","147,970"
9343239,SuperFlower SF-750F14HT LEADEX TITANIUM,0,"328,650","328,650","328,160","328,650","328,650","328,650","328,650","328,160","328,150","328,150","328,150","328,150","328,150"
90156104,SuperFlower SF-750Z12DB Zillion DB ETA실버 ATX3.1,0,"79,000","79,000","80,680","80,680","80,680","80,680","80,680","80,680","80,680","80,680","80,680","80,680","80,680"
60148511,SuperFlower SF-850C12FG COMBAT FG 80PLUS골드 ATX3.1,0,"155,000","155,000","155,000","155,000","155,000","155,000","155,000","154,990","154,990","154,990","154,990","154,990","154,990"
69468698,SuperFlower SF-850F14GE LEADEX III GOLD UP ATX3.1,0,"163,920","163,920","163,920","163,920","163,920","163,920","163,920","163,910","163,910","163,910","162,990","163,330","163,320"
94445237,SuperFlower SF-850F14GE LEADEX III GOLD UP ATX3.1 화이트,0,"168,770","168,770","168,770","168,770","168,770","168,770","168,770","168,770","168,770","168,770","168,770","168,770","168,770"
20315651,SuperFlower SF-850F14HG LEADEX III GOLD 블랙 PCIE5,0,"199,780","199,780","199,780","199,780","199,780","199,780","199,780","199,780","199,780","199,780","199,780","199,780","199,780"
9343278,SuperFlower SF-850F14HT LEADEX TITANIUM,0,"378,710","378,710","378,710","378,710","378,710","378,710","378,710","378,710","378,710","378,710","378,710","378,710","378,710"
19227146,SuperFlower SF-850F14PE LEADEX VI PRO PLATINUM PCIE5,0,"182,490","182,470","182,450","182,430","182,400","182,380","182,360","182,340","182,320","182,290","182,260","182,220","182,200"
15298862,SuperFlower SF-850F14TP LEADEX V PRO PLATINUM 블랙,0,"240,800","240,800","240,800","240,800","240,800","240,800","240,800","240,800","240,800","240,800","240,800","240,800","240,800"
16054550,SuperFlower SF-850F14TP LEADEX V PRO PLATINUM 화이트,0,"269,500","269,500","269,500","269,500","269,500","269,500","269,500","269,500","269,500","269,500","269,500","269,500","269,500"
20057990,SuperFlower SF-850F14XG LEADEX VII GOLD ATX3.1,0,"193,010","193,010","193,000","193,000","193,010","193,010","193,010","193,010","192,900","192,870","192,830","192,820","192,800"
20237516,SuperFlower SF-850F14XG LEADEX VII GOLD 화이트 ATX3.1,0,"202,600","202,600","202,590","202,590","202,600","202,600","202,600","202,600","202,600","202,570","202,570","202,580","202,500"
32037836,SuperFlower SF-850F14XP LEADEX VII PRO PLATINUM 블랙 ATX3.1,0,"217,200","217,200","217,190","217,190","217,200","217,200","217,200","217,200","217,200","217,170","215,190","215,190","215,170"
55795079,SuperFlower SF-850F14XP LEADEX VII PRO PLATINUM 화이트 ATX3.1,0,"226,960","226,960","226,950","226,950","226,960","226,960","226,960","226,960","226,960","226,930","226,910","225,960","225,940"
90156149,SuperFlower SF-850Z12DB Zillion DB ETA실버 ATX3.1,0,"89,000","89,000","90,340","90,340","90,340","90,340","90,340","90,340","90,340","90,340","90,340","90,340","90,340"
3426658,WEED W500-ORIGIN REAL,0,0,0,0,0,0,0,0,"29,710","29,710","29,710",0,0,0
16265594,be quiet DARK POWER PRO 12 1500W 80PLUS티타늄,0,"665,990","665,990","665,990","665,990","665,990","665,990","665,990","665,990","619,380","619,380","619,380","619,380","619,380"
28802945,be quiet DARK POWER PRO 13 1300W 80PLUS티타늄,0,"737,190","737,190","737,190","737,190","737,190","737,190","737,190","737,190","746,680","750,000","750,000","750,000","750,000"
28803080,be quiet DARK POWER PRO 13 1600W 80PLUS티타늄,0,"787,040","787,040","786,540","787,040","787,040","787,040","787,040","787,040","787,040","787,040","787,040","789,540","789,540"
28803386,be quiet STRAIGHT POWER 12 1000W 80PLUS플래티넘,0,"356,000","356,000","356,000","356,000","356,000","356,000","356,000","356,000","356,000","356,000","356,000","356,000","356,000"
28803701,be quiet STRAIGHT POWER 12 1500W 80PLUS플래티넘,0,"599,000","599,000","599,000","599,000","599,000","599,000","599,000","599,000","599,000","599,000","599,000","599,000","599,000"
