productId,productName,productPrice
9996480,AMD 라이젠9-3세대 3950X (마티스),"898,400"
11305233,인텔 코어i9-10세대 10900K (코멧레이크S),"886,500"
8459925,AMD 라이젠5-3세대 3600X (마티스),"249,700"
8459781,AMD 라이젠7-3세대 3800X (마티스),"390,000"
9968202,AMD 애슬론 3000G (레이븐 릿지),"60,800"
11405430,인텔 코어i5-10세대 10500 (코멧레이크S),"236,400"
11405664,인텔 코어i9-10세대 10900 (코멧레이크S),"569,300"
7565248,인텔 코어i5-9세대 9600KF (커피레이크-R),"221,600"
11430906,인텔 코어i5-10세대 10600K (코멧레이크S),"317,100"
11489973,인텔 코어i5-10세대 10400F (코멧레이크S),"208,000"
11593217,인텔 코어i7-10세대 10700KF (코멧레이크S),"473,800"
5884539,AMD 라이젠3-1세대 2200G (레이븐 릿지),"96,600"
11593289,인텔 코어i9-10세대 10900F (코멧레이크S),"558,000"
11593361,인텔 코어i9-10세대 10900KF (코멧레이크S),"884,900"
6515580,인텔 코어i9-9세대 9900K (커피레이크-R),"573,900"
6066419,AMD 라이젠5-2세대 2600X (피나클 릿지),"183,110"
6515620,인텔 코어i5-9세대 9600K (커피레이크-R),"236,500"
11646593,인텔 코어i7-10세대 10700F (코멧레이크S),"419,000"
6066396,AMD 라이젠5-2세대 2600 (피나클 릿지),"149,140"
